title,slogan,address,phone/0,email,web,categories/0,phone/1,categories/1,categories/2,socialNetwork/0,socialNetwork/1,categories/3,phone/2,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,socialNetwork/2,socialNetwork/3,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,,phone/3,phone/4,phone/5,phone/6,phone/7,phone/8,phone/9,categories/20,categories/21,categories/22,categories/23,categories/24,categories/25
SERCOCRUZ,Servicios Publicitarios y Confecciones, Caller La Paz Nº 435 ,3331596,,www.sercocruz.com,Bordados,,Confecciones,Serigrafías,,,Servicios publicitarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stilo,, Calle Daniel Salamanca Nº 2230 ,3460868,,,Conjuntos musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa Las Mil y Una Llave,, Aroma Nº 780/Av. Uruguay ,3348288,,,Copias de llaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE HOREB,, Calle El Vero N° 143 ,9232284,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovando,, ,3363100,,,Talleres mecánicos de automotores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millenium,, Av. Mutualista Esq. Calle 3 ,3475917,,,Orquestas musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGENIERIA DEL AGUA S.R.L.,, Barrio Fleig Calle La Chonta N° 2375 ,3336827,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARDERIA CAPRICHITOS S.R.L.,, Av. El Cristo C/los Penocos N° 2030 ,3432216,,,Educación preescolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROPECUARIA ARGIC S.A.,, Av. San Martin Calle I Este N° 27 Edificio: Aranjuez Piso: 4to Oficina: 4a ,3433663,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINGA DECORACIONES,Muebles y Decoraciones, Av. Alemana 3er. Anillo Interno Nº 3195 ,3421258,,www.chingahome.com,Decoraciones,3414409,Fabrica de muebles,,,,,3575371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS CORPORACION DIRECTO S.A.,," Avenida Jenecheru, Barrio Venezuela N° S/n Edificio: Almeida Piso: 1 Oficina: 4 ",3313450,,,Fabricación de aparatos de uso doméstico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLLO A LA BRASA BATMAN,, C/campero N° 468 ,3345068,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sobolma,, Av. Cristobal de Mendoza S/N ,3324050,,,Industrias madereras,3334498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maestranza y Rectificadora Vmw,, Av. Radial 26 Nº 106 ,3424320,,,Rectificadoras de motores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE HERRERA,, 5to Anillo Radial 17 1/2 Calle 5 B/ Jardin Latino N° 5035 ,3585929,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROINDUSTRIAL Y COMERCIAL ATLANTICA SEMENTES S.A.,, Calle F Este N° 360 ,3415505,,,Cultivo de productos agrícolas en combinación con la cría de animales (explotaci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Banda Cueto,, Calle Lagunillas Nº 317 ,3486887,,,Conjuntos musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGENIERIA DE PROYECTOS Y SERVICIOS ELECTROMECANICOS IPSE S.R.L.,," Barrio Convifag, Calle Odiseo N° 411c ",347-7297,,, Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL ALJIBE,Comida Tipica, Calle Potosi esq. Ñuflo de Chavez ,3352277,,www.elaljibecomidatipica.com,Comida criolla,,Comida tipica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLANETA POLLO S.R.L.,, Av. Centenario N° 155 ,3242856,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOD STUDENTS S.R.L.,, C/enrique Finot Esq. Calle 7 Oeste N° S/n Edificio: Pasites Piso: 1 Oficina: 1 ,3353288,,,Educación preescolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS BONGO BONGO LTDA.,, Cotoca Circunvalacion Km 5 1/2 N° S/n ,3462416,,,"Generación, transmisión y distribución de energía eléctrica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andres Srl,, 3º Anillo Av. Roca y Coronado ,3524787,,,Talleres de chapería y pintura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRANSPORTE FORTIN CARGO,, Avenida Doble Via Ala Guardia Km 9 1/2 N° 4 ,,,,Transporte automotor de carga por carretera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INGENIERIA DE PROYECTOS Y SERVICIOS DE ELECTRICIDAD I.P.S. ELECTRICIDAD S.R.L.,, C/ Toborochi N° 6 ,3120272,,,Actividades de arquitectura e ingeniería y actividades conexas de consultoría té,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIZZA KITCHEN,, Av. Busch Y 3cer Anillo Interno Edificio: Supermercado Ic Norte ,780-02006,,,Expendio de comida en locales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABY VACA MONTERO DE MICHEL,, B/ Ramafa C/ Piriti N° 136 ,3520797,,,Otros tipos de enseñanza n.c.p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIEDAD AGROINDUSTRIAL NUTRIOIL S.A.,, B/equipetrol C/cordoba N° 20 ,342-4242,,,"Cultivo de cereales, legumbres y semillas oleaginosas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana,, Calle 2 Barrio Cotas Norte Nº 20 ,3422015,,,Grupos electrónicos,3342015, musicales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maestranza Vmv,, Calle Platanillos Nº 104 ,3350986,,,Rectificadoras de motores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOCUS,Artefactos Electricos y a gas, Av. Banzer entre 4to y 5to Anillo - Comercial Plaza Norte of. 5 ,3420222,,www.focusimport.com,Calefones,,Campanas extractoras,Cocinas encimeras,,,Termotanques eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAS BELEN S.R.L.,, 4to Anillo Parque Industrial N° S/n Edificio: Industrias Belen Srl ,3461029,,,Fabricación de productos de plástico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guayacan,, Tranca - Carr. A Cotoca Km 6 1/2 ,3469411,,,Surtidores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
